t,d_lat,d_long,ttc,closing_speed,drift
0.0,3.5,3.5,inf,0.0,0.0
0.05,3.5,3.5,inf,0.0,0.0
0.1,3.5,3.5,inf,0.0,0.0
0.15,3.5,3.5,inf,0.0,0.0
0.2,3.5,3.5,inf,0.0,0.0
0.25,3.5,3.5,inf,0.0,0.0
0.3,3.5,3.5,inf,0.0,0.0
0.35,3.5,3.5,inf,0.0,0.0
0.4,3.5,3.5,inf,0.0,0.0
0.45,3.5,3.5,inf,0.0,0.0
0.5,3.5,3.5,inf,0.0,0.0
0.55,3.5,3.5,inf,0.0,0.0
0.6,3.5,3.5,inf,0.0,0.0
0.65,3.5,3.5,inf,0.0,0.0
0.7,3.5,3.5,inf,0.0,0.0
0.75,3.5,3.5,inf,0.0,0.0
0.8,3.5,3.5,inf,0.0,0.0
0.85,3.5,3.5,inf,0.0,0.0
0.9,3.5,3.5,inf,0.0,0.0
0.95,3.5,3.5,inf,0.0,0.0
1.0,3.5,3.5,inf,0.0,0.0
1.05,3.5,3.5,inf,0.0,0.0
1.1,3.5,3.5,inf,0.0,0.0
1.15,3.5,3.5,inf,0.0,0.0
1.2,3.5,3.5,inf,0.0,0.0
1.25,3.5,3.5,inf,0.0,0.0
1.3,3.5,3.5,inf,0.0,0.0
1.35,3.5,3.5,inf,0.0,0.0
1.4,3.5,3.5,inf,0.0,0.0
1.45,3.5,3.5,inf,0.0,0.0
1.5,3.5,3.5,inf,0.0,0.0
1.55,3.5,3.5,inf,0.0,0.0
1.6,3.5,3.5,inf,0.0,0.0
1.65,3.5,3.5,inf,0.0,0.0
1.7,3.5,3.5,inf,0.0,0.0
1.75,3.5,3.5,inf,0.0,0.0
1.8,3.5,3.5,inf,0.0,0.0
1.85,3.5,3.5,inf,0.0,0.0
1.9,3.5,3.5,inf,0.0,0.0
1.95,3.5,3.5,inf,0.0,0.0
2.0,3.5,3.5,inf,0.0,0.0
2.05,3.5,3.5,inf,0.0,0.0
2.1,3.5,3.5,inf,0.0,0.0
2.15,3.5,3.5,inf,0.0,0.0
2.2,3.5,3.5,inf,0.0,0.0
2.25,3.5,3.5,inf,0.0,0.0
2.3,3.5,3.5,inf,0.0,0.0
2.35,3.5,3.5,inf,0.0,0.0
2.4,3.5,3.5,inf,0.0,0.0
2.45,3.5,3.5,inf,0.0,0.0
2.5,3.5,3.5,inf,0.0,0.0
2.55,3.5,3.5,inf,0.0,0.0
2.6,3.5,3.5,inf,0.0,0.0
2.65,3.5,3.5,inf,0.0,0.0
2.7,3.5,3.5,inf,0.0,0.0
2.75,3.5,3.5,inf,0.0,0.0
2.8,3.5,3.5,inf,0.0,0.0
2.85,3.5,3.5,inf,0.0,0.0
2.9,3.5,3.5,inf,0.0,0.0
2.95,3.5,3.5,inf,0.0,0.0
3.0,3.5,3.5,inf,0.0,0.0
3.05,3.5,3.5,inf,0.0,0.0
3.1,3.5,3.5,inf,0.0,0.0
3.15,3.5,3.5,inf,0.0,0.0
3.2,3.5,3.5,inf,0.0,0.0
3.25,3.5,3.5,inf,0.0,0.0
3.3,3.5,3.5,inf,0.0,0.0
3.35,3.5,3.5,inf,0.0,0.0
3.4,3.5,3.5,inf,0.0,0.0
3.45,3.5,3.5,inf,0.0,0.0
3.5,3.5,3.5,inf,0.0,0.0
3.55,3.5,3.5,inf,0.0,0.0
3.6,3.5,3.5,inf,0.0,0.0
3.65,3.5,3.5,inf,0.0,0.0
3.7,3.5,3.5,inf,0.0,0.0
3.75,3.5,3.5,inf,0.0,0.0
3.8,3.5,3.5,inf,0.0,0.0
3.85,3.5,3.5,inf,0.0,0.0
3.9,3.5,3.5,inf,0.0,0.0
3.95,3.5,3.5,inf,0.0,0.0
4.0,3.5,3.5,inf,0.0,0.0
4.05,3.5,3.5,inf,0.0,0.0
4.1,3.5,3.5,inf,0.0,0.0
4.15,3.5,3.5,inf,0.0,0.0
4.2,3.5,3.5,inf,0.0,0.0
4.25,3.5,3.5,inf,0.0,0.0
4.3,3.5,3.5,inf,0.0,0.0
4.35,3.5,3.5,inf,0.0,0.0
4.4,3.5,3.5,inf,0.0,0.0
4.45,3.5,3.5,inf,0.0,0.0
4.5,3.5,3.5,inf,0.0,0.0
4.55,3.5,3.5,inf,0.0,0.0
4.6,3.5,3.5,inf,0.0,0.0
4.65,3.5,3.5,inf,0.0,0.0
4.7,3.5,3.5,inf,0.0,0.0
4.75,3.5,3.5,inf,0.0,0.0
4.8,3.5,3.5,inf,0.0,0.0
4.85,3.5,3.5,inf,0.0,0.0
4.9,3.5,3.5,inf,0.0,0.0
